symbol	name	locus_group
LINC02429	long intergenic non-protein coding RNA 2429	non-coding RNA
LINC02430	long intergenic non-protein coding RNA 2430	non-coding RNA
LINC02431	long intergenic non-protein coding RNA 2431	non-coding RNA
LINC02432	long intergenic non-protein coding RNA 2432	non-coding RNA
LINC02433	long intergenic non-protein coding RNA 2433	non-coding RNA
LINC02434	long intergenic non-protein coding RNA 2434	non-coding RNA
LINC02435	long intergenic non-protein coding RNA 2435	non-coding RNA
LINC02436	long intergenic non-protein coding RNA 2436	non-coding RNA
LINC02437	long intergenic non-protein coding RNA 2437	non-coding RNA
LINC02438	long intergenic non-protein coding RNA 2438	non-coding RNA
LINC02439	long intergenic non-protein coding RNA 2439	non-coding RNA
LINC02440	long intergenic non-protein coding RNA 2440	non-coding RNA
LINC02441	long intergenic non-protein coding RNA 2441	non-coding RNA
LINC02442	long intergenic non-protein coding RNA 2442	non-coding RNA
LINC02443	long intergenic non-protein coding RNA 2443	non-coding RNA
LINC02444	long intergenic non-protein coding RNA 2444	non-coding RNA
LINC02445	long intergenic non-protein coding RNA 2445	non-coding RNA
LINC02446	long intergenic non-protein coding RNA 2446	non-coding RNA
LINC02447	long intergenic non-protein coding RNA 2447	non-coding RNA
LINC02448	long intergenic non-protein coding RNA 2448	non-coding RNA
LINC02449	long intergenic non-protein coding RNA 2449	non-coding RNA
LINC02450	long intergenic non-protein coding RNA 2450	non-coding RNA
LINC02451	long intergenic non-protein coding RNA 2451	non-coding RNA
LINC02452	long intergenic non-protein coding RNA 2452	non-coding RNA
LINC02453	long intergenic non-protein coding RNA 2453	non-coding RNA
LINC02454	long intergenic non-protein coding RNA 2454	non-coding RNA
LINC02455	long intergenic non-protein coding RNA 2455	non-coding RNA
LINC02456	long intergenic non-protein coding RNA 2456	non-coding RNA
LINC02457	long intergenic non-protein coding RNA 2457	non-coding RNA
LINC02458	long intergenic non-protein coding RNA 2458	non-coding RNA
LINC02459	long intergenic non-protein coding RNA 2459	non-coding RNA
LINC02460	long intergenic non-protein coding RNA 2460	non-coding RNA
LINC02461	long intergenic non-protein coding RNA 2461	non-coding RNA
LINC02462	long intergenic non-protein coding RNA 2462	non-coding RNA
LINC02463	long intergenic non-protein coding RNA 2463	non-coding RNA
LINC02464	long intergenic non-protein coding RNA 2464	non-coding RNA
LINC02465	long intergenic non-protein coding RNA 2465	non-coding RNA
LINC02466	long intergenic non-protein coding RNA 2466	non-coding RNA
LINC02467	long intergenic non-protein coding RNA 2467	non-coding RNA
LINC02468	long intergenic non-protein coding RNA 2468	non-coding RNA
LINC02469	long intergenic non-protein coding RNA 2469	non-coding RNA
LINC02470	long intergenic non-protein coding RNA 2470	non-coding RNA
LINC02471	long intergenic non-protein coding RNA 2471	non-coding RNA
LINC02472	long intergenic non-protein coding RNA 2472	non-coding RNA
LINC02473	long intergenic non-protein coding RNA 2473	non-coding RNA
LINC02474	long intergenic non-protein coding RNA 2474	non-coding RNA
LINC02475	long intergenic non-protein coding RNA 2475	non-coding RNA
LINC02476	long intergenic non-protein coding RNA 2476	non-coding RNA
LINC02477	long intergenic non-protein coding RNA 2477	non-coding RNA
LINC02478	long intergenic non-protein coding RNA 2478	non-coding RNA
LINC02479	long intergenic non-protein coding RNA 2479	non-coding RNA
LINC02480	long intergenic non-protein coding RNA 2480	non-coding RNA
LINC02481	long intergenic non-protein coding RNA 2481	non-coding RNA
LINC02482	long intergenic non-protein coding RNA 2482	non-coding RNA
LINC02483	long intergenic non-protein coding RNA 2483	non-coding RNA
LINC02484	long intergenic non-protein coding RNA 2484	non-coding RNA
LINC02485	long intergenic non-protein coding RNA 2485	non-coding RNA
LINC02487	long intergenic non-protein coding RNA 2487	non-coding RNA
LINC02488	long intergenic non-protein coding RNA 2488	non-coding RNA
LINC02489	long intergenic non-protein coding RNA 2489	non-coding RNA
LINC02490	long intergenic non-protein coding RNA 2490	non-coding RNA
LINC02491	long intergenic non-protein coding RNA 2491	non-coding RNA
LINC02492	long intergenic non-protein coding RNA 2492	non-coding RNA
LINC02493	long intergenic non-protein coding RNA 2493	non-coding RNA
LINC02494	long intergenic non-protein coding RNA 2494	non-coding RNA
LINC02495	long intergenic non-protein coding RNA 2495	non-coding RNA
LINC02496	long intergenic non-protein coding RNA 2496	non-coding RNA
LINC02497	long intergenic non-protein coding RNA 2497	non-coding RNA
LINC02498	long intergenic non-protein coding RNA 2498	non-coding RNA
LINC02499	long intergenic non-protein coding RNA 2499	non-coding RNA
LINC02500	long intergenic non-protein coding RNA 2500	non-coding RNA
LINC02501	long intergenic non-protein coding RNA 2501	non-coding RNA
LINC02502	long intergenic non-protein coding RNA 2502	non-coding RNA
LINC02503	long intergenic non-protein coding RNA 2503	non-coding RNA
LINC02504	long intergenic non-protein coding RNA 2504	non-coding RNA
LINC02505	long intergenic non-protein coding RNA 2505	non-coding RNA
LINC02506	long intergenic non-protein coding RNA 2506	non-coding RNA
LINC02507	long intergenic non-protein coding RNA 2507	non-coding RNA
LINC02508	long intergenic non-protein coding RNA 2508	non-coding RNA
LINC02509	long intergenic non-protein coding RNA 2509	non-coding RNA
LINC02510	long intergenic non-protein coding RNA 2510	non-coding RNA
LINC02511	long intergenic non-protein coding RNA 2511	non-coding RNA
LINC02512	long intergenic non-protein coding RNA 2512	non-coding RNA
LINC02513	long intergenic non-protein coding RNA 2513	non-coding RNA
LINC02514	long intergenic non-protein coding RNA 2514	non-coding RNA
LINC02515	long intergenic non-protein coding RNA 2515	non-coding RNA
LINC02516	long intergenic non-protein coding RNA 2516	non-coding RNA
LINC02517	long intergenic non-protein coding RNA 2517	non-coding RNA
LINC02518	long intergenic non-protein coding RNA 2518	non-coding RNA
LINC02519	long intergenic non-protein coding RNA 2519	non-coding RNA
LINC02520	long intergenic non-protein coding RNA 2520	non-coding RNA
LINC02521	long intergenic non-protein coding RNA 2521	non-coding RNA
LINC02522	long intergenic non-protein coding RNA 2522	non-coding RNA
LINC02523	long intergenic non-protein coding RNA 2523	non-coding RNA
LINC02525	long intergenic non-protein coding RNA 2525	non-coding RNA
LINC02526	long intergenic non-protein coding RNA 2526	non-coding RNA
LINC02527	long intergenic non-protein coding RNA 2527	non-coding RNA
LINC02528	long intergenic non-protein coding RNA 2528	non-coding RNA
LINC02529	long intergenic non-protein coding RNA 2529	non-coding RNA
LINC02530	long intergenic non-protein coding RNA 2530	non-coding RNA
LINC02531	long intergenic non-protein coding RNA 2531	non-coding RNA
LINC02532	long intergenic non-protein coding RNA 2532	non-coding RNA
LINC02533	long intergenic non-protein coding RNA 2533	non-coding RNA
LINC02534	long intergenic non-protein coding RNA 2534	non-coding RNA
LINC02535	long intergenic non-protein coding RNA 2535	non-coding RNA
LINC02536	long intergenic non-protein coding RNA 2536	non-coding RNA
LINC02537	long intergenic non-protein coding RNA 2537	non-coding RNA
LINC02538	long intergenic non-protein coding RNA 2538	non-coding RNA
LINC02539	long intergenic non-protein coding RNA 2539	non-coding RNA
LINC02540	long intergenic non-protein coding RNA 2540	non-coding RNA
LINC02541	long intergenic non-protein coding RNA 2541	non-coding RNA
LINC02542	long intergenic non-protein coding RNA 2542	non-coding RNA
LINC02543	long intergenic non-protein coding RNA 2543	non-coding RNA
LINC02544	long intergenic non-protein coding RNA 2544	non-coding RNA
LINC02545	long intergenic non-protein coding RNA 2545	non-coding RNA
LINC02546	long intergenic non-protein coding RNA 2546	non-coding RNA
LINC02547	long intergenic non-protein coding RNA 2547	non-coding RNA
LINC02548	long intergenic non-protein coding RNA 2548	non-coding RNA
LINC02549	long intergenic non-protein coding RNA 2549	non-coding RNA
LINC02550	long intergenic non-protein coding RNA 2550	non-coding RNA
LINC02551	long intergenic non-protein coding RNA 2551	non-coding RNA
LINC02552	long intergenic non-protein coding RNA 2552	non-coding RNA
LINC02553	long intergenic non-protein coding RNA 2553	non-coding RNA
LINC02554	long intergenic non-protein coding RNA 2554	non-coding RNA
LINC02555	long intergenic non-protein coding RNA 2555	non-coding RNA
LINC02556	long intergenic non-protein coding RNA 2556	non-coding RNA
LINC02557	long intergenic non-protein coding RNA 2557	non-coding RNA
LINC02558	long intergenic non-protein coding RNA 2558	non-coding RNA
LINC02559	long intergenic non-protein coding RNA 2559	non-coding RNA
LINC02560	long intergenic non-protein coding RNA 2560	non-coding RNA
LINC02561	long intergenic non-protein coding RNA 2561	non-coding RNA
LINC02562	long intergenic non-protein coding RNA 2562	non-coding RNA
LINC02563	long intergenic non-protein coding RNA 2563	non-coding RNA
LINC02564	long intergenic non-protein coding RNA 2564	non-coding RNA
LINC02565	long intergenic non-protein coding RNA 2565	non-coding RNA
LINC02567	long intergenic non-protein coding RNA 2567	non-coding RNA
LINC02568	long intergenic non-protein coding RNA 2568	non-coding RNA
LINC02569	long intergenic non-protein coding RNA 2569	non-coding RNA
LINC02570	long intergenic non-protein coding RNA 2570	non-coding RNA
LINC02571	long intergenic non-protein coding RNA 2571	non-coding RNA
LINC02572	long intergenic non-protein coding RNA 2572	non-coding RNA
LINC02573	long intergenic non-protein coding RNA 2573	non-coding RNA
LINC02574	long intergenic non-protein coding RNA 2574	non-coding RNA
LINC02575	long intergenic non-protein coding RNA 2575	non-coding RNA
LINC02576	long intergenic non-protein coding RNA 2576	non-coding RNA
LINC02577	long intergenic non-protein coding RNA 2577	non-coding RNA
LINC02578	long intergenic non-protein coding RNA 2578	non-coding RNA
LINC02579	long intergenic non-protein coding RNA 2579	non-coding RNA
LINC02580	long intergenic non-protein coding RNA 2580	non-coding RNA
LINC02582	long intergenic non-protein coding RNA 2582	non-coding RNA
LINC02583	long intergenic non-protein coding RNA 2583	non-coding RNA
LINC02584	long intergenic non-protein coding RNA 2584	non-coding RNA
LINC02585	long intergenic non-protein coding RNA 2585	non-coding RNA
LINC02586	long intergenic non-protein coding RNA 2586	non-coding RNA
LINC02587	long intergenic non-protein coding RNA 2587	non-coding RNA
LINC02588	long intergenic non-protein coding RNA 2588	non-coding RNA
LINC02589	long intergenic non-protein coding RNA 2589	non-coding RNA
LINC02590	long intergenic non-protein coding RNA 2590	non-coding RNA
LINC02591	long intergenic non-protein coding RNA 2591	non-coding RNA
LINC02593	long intergenic non-protein coding RNA 2593	non-coding RNA
LINC02594	long intergenic non-protein coding RNA 2594	non-coding RNA
LINC02595	long intergenic non-protein coding RNA 2595	non-coding RNA
LINC02596	long intergenic non-protein coding RNA 2596	non-coding RNA
LINC02597	long intergenic non-protein coding RNA 2597	non-coding RNA
LINC02598	long intergenic non-protein coding RNA 2598	non-coding RNA
LINC02599	long intergenic non-protein coding RNA 2599	non-coding RNA
LINC02600	long intergenic non-protein coding RNA 2600	non-coding RNA
LINC02601	long intergenic non-protein coding RNA 2601	non-coding RNA
LINC02602	long intergenic non-protein coding RNA 2602	non-coding RNA
LINC02603	long intergenic non-protein coding RNA 2603	non-coding RNA
LINC02604	long intergenic non-protein coding RNA 2604	non-coding RNA
LINC02605	long intergenic non-protein coding RNA 2605	non-coding RNA
LINC02606	long intergenic non-protein coding RNA 2606	non-coding RNA
LINC02607	long intergenic non-protein coding RNA 2607	non-coding RNA
LINC02608	long intergenic non-protein coding RNA 2608	non-coding RNA
LINC02609	long intergenic non-protein coding RNA 2609	non-coding RNA
LINC02610	long intergenic non-protein coding RNA 2610	non-coding RNA
LINC02611	long intergenic non-protein coding RNA 2611	non-coding RNA
LINC02612	long intergenic non-protein coding RNA 2612	non-coding RNA
LINC02613	long intergenic non-protein coding RNA 2613	non-coding RNA
LINC02614	long intergenic non-protein coding RNA 2614	non-coding RNA
LINC02615	long intergenic non-protein coding RNA 2615	non-coding RNA
LINC02616	long intergenic non-protein coding RNA 2616	non-coding RNA
LINC02617	long intergenic non-protein coding RNA 2617	non-coding RNA
LINC02618	long intergenic non-protein coding RNA 2618	non-coding RNA
LINC02619	long intergenic non-protein coding RNA 2619	non-coding RNA
LINC02620	long intergenic non-protein coding RNA 2620	non-coding RNA
LINC02621	long intergenic non-protein coding RNA 2621	non-coding RNA
LINC02622	long intergenic non-protein coding RNA 2622	non-coding RNA
LINC02623	long intergenic non-protein coding RNA 2623	non-coding RNA
LINC02624	long intergenic non-protein coding RNA 2624	non-coding RNA
LINC02625	long intergenic non-protein coding RNA 2625	non-coding RNA
LINC02626	long intergenic non-protein coding RNA 2626	non-coding RNA
LINC02627	long intergenic non-protein coding RNA 2627	non-coding RNA
LINC02628	long intergenic non-protein coding RNA 2628	non-coding RNA
LINC02629	long intergenic non-protein coding RNA 2629	non-coding RNA
LINC02630	long intergenic non-protein coding RNA 2630	non-coding RNA
LINC02631	long intergenic non-protein coding RNA 2631	non-coding RNA
LINC02632	long intergenic non-protein coding RNA 2632	non-coding RNA
LINC02633	long intergenic non-protein coding RNA 2633	non-coding RNA
LINC02634	long intergenic non-protein coding RNA 2634	non-coding RNA
LINC02635	long intergenic non-protein coding RNA 2635	non-coding RNA
LINC02636	long intergenic non-protein coding RNA 2636	non-coding RNA
LINC02637	long intergenic non-protein coding RNA 2637	non-coding RNA
LINC02639	long intergenic non-protein coding RNA 2639	non-coding RNA
LINC02640	long intergenic non-protein coding RNA 2640	non-coding RNA
LINC02641	long intergenic non-protein coding RNA 2641	non-coding RNA
LINC02642	long intergenic non-protein coding RNA 2642	non-coding RNA
LINC02643	long intergenic non-protein coding RNA 2643	non-coding RNA
LINC02644	long intergenic non-protein coding RNA 2644	non-coding RNA
LINC02645	long intergenic non-protein coding RNA 2645	non-coding RNA
LINC02646	long intergenic non-protein coding RNA 2646	non-coding RNA
LINC02647	long intergenic non-protein coding RNA 2647	non-coding RNA
LINC02648	long intergenic non-protein coding RNA 2648	non-coding RNA
LINC02649	long intergenic non-protein coding RNA 2649	non-coding RNA
LINC02650	long intergenic non-protein coding RNA 2650	non-coding RNA
